order_id,order_date,customer_id,product_name,category,region,country,quantity,unit_price,discount,total_sales
ORD00001,13-03-2023,CUST6734,Headphones,Accessories,South,USA,3,1198.88,0.1,3236.98
ORD00002,03-04-2024,CUST9322,Printer,Office,South,India,2,250.87,0.1,451.57
ORD00003,18-02-2024,CUST7949,Monitor,Electronics,North,Australia,2,103.49,0.15,175.93
ORD00004,10-06-2023,CUST5555,Printer,Office,East,USA,2,289.1,0.2,462.56
ORD00005,14-07-2024,CUST9666,Monitor,Electronics,East,UK,2,796.64,0.15,1354.29
ORD00006,30-11-2024,CUST1189,Tablet,Electronics,North,Australia,3,611.79,0.15,1560.06
ORD00007,20-07-2024,CUST2267,Laptop,Electronics,West,Australia,2,1182.06,0.1,2127.71
ORD00008,08-10-2024,CUST6393,Camera,Electronics,North,Canada,4,710.81,0.2,2274.59
ORD00009,12-12-2023,CUST3612,Printer,Office,South,Germany,4,1414.46,0.05,5374.95
ORD00010,30-03-2024,CUST1775,Smartphone,Electronics,South,Canada,2,1032.66,0.15,1755.52
ORD00011,15-07-2024,CUST4943,Monitor,Electronics,West,UK,3,276.58,0,829.74
ORD00012,21-04-2024,CUST7873,Tablet,Electronics,West,Australia,4,481.33,0.05,1829.05
ORD00013,27-09-2023,CUST8629,Smartwatch,Wearables,South,Canada,4,1410.46,0.15,4795.56
ORD00014,20-12-2024,CUST8916,Tablet,Electronics,West,Australia,3,790.83,0.2,1897.99
ORD00015,05-08-2023,CUST5859,Printer,Office,West,India,2,818.74,0.05,1555.61
ORD00016,06-06-2023,CUST3062,Mouse,Accessories,West,USA,4,823.19,0,3292.76
ORD00017,10-12-2023,CUST3027,Keyboard,Accessories,West,India,1,130.33,0,130.33
ORD00018,13-05-2024,CUST7736,Smartphone,Electronics,South,Australia,4,28.17,0.1,101.41
ORD00019,14-01-2024,CUST6892,Tablet,Electronics,North,Germany,4,1098.93,0,4395.72
ORD00020,28-01-2023,CUST7278,Camera,Electronics,North,Germany,2,550.53,0,1101.06
ORD00021,02-02-2023,CUST8215,Camera,Electronics,East,USA,1,942.48,0.05,895.36
ORD00022,09-04-2023,CUST3731,Headphones,Accessories,South,Germany,3,480.25,0.2,1152.6
ORD00023,04-09-2024,CUST9110,Printer,Office,South,UK,4,426.59,0.1,1535.72
ORD00024,06-08-2023,CUST1502,Headphones,Accessories,North,USA,2,1276.39,0.2,2042.22
ORD00025,28-01-2024,CUST1206,Tablet,Electronics,East,Australia,3,398.98,0.1,1077.25
